FID_1,geometry,Join_Count,PREF,CITY1,CITY2,FirstDate,LastDate,radiation,Elev
73,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88457,37.66669 140.88457,37.66384 140.88816,37.66384 140.88816,37.66669</coordinates></LinearRing></outerBoundaryIs></Polygon>",71,福島県,,南相馬市,2017/08/06 01:00:33,2017/08/06 01:28:53,0.34324,79
74,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88457,37.66953 140.88457,37.66669 140.88816,37.66669 140.88816,37.66953</coordinates></LinearRing></outerBoundaryIs></Polygon>",43,福島県,,南相馬市,2017/08/06 01:27:09,2017/08/06 01:28:25,0.40023,86
75,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88457,37.69228 140.88457,37.68944 140.88816,37.68944 140.88816,37.69228</coordinates></LinearRing></outerBoundaryIs></Polygon>",74,福島県,,南相馬市,2017/07/15 22:48:06,2017/07/15 23:12:15,0.25135,104
76,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88457,37.69513 140.88457,37.69228 140.88816,37.69228 140.88816,37.69513</coordinates></LinearRing></outerBoundaryIs></Polygon>",47,福島県,,南相馬市,2017/07/15 22:49:14,2017/07/15 23:12:36,0.24766,111
77,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88457,37.71787 140.88457,37.71503 140.88816,37.71503 140.88816,37.71787</coordinates></LinearRing></outerBoundaryIs></Polygon>",17,福島県,,南相馬市,2017/07/15 23:19:15,2017/07/15 23:19:33,0.18941,79
78,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88457,37.72071 140.88457,37.71787 140.88816,37.71787 140.88816,37.72071</coordinates></LinearRing></outerBoundaryIs></Polygon>",75,福島県,,南相馬市,2017/07/15 23:19:34,2017/07/15 23:45:53,0.15987,66
79,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88457,37.72640 140.88457,37.72355 140.88816,37.72355 140.88816,37.72640</coordinates></LinearRing></outerBoundaryIs></Polygon>",76,福島県,,南相馬市,2017/07/15 23:22:40,2017/07/15 23:52:52,0.13158,60
80,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88816,37.66669 140.88816,37.66384 140.89176,37.66384 140.89176,37.66669</coordinates></LinearRing></outerBoundaryIs></Polygon>",18,福島県,,南相馬市,2017/08/06 01:00:11,2017/08/06 01:00:32,0.25222,75
81,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88816,37.68375 140.88816,37.68091 140.89176,37.68091 140.89176,37.68375</coordinates></LinearRing></outerBoundaryIs></Polygon>",2,福島県,,南相馬市,2017/07/15 22:45:49,2017/07/15 22:45:50,0.30500,121
82,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88816,37.68660 140.88816,37.68375 140.89176,37.68375 140.89176,37.68660</coordinates></LinearRing></outerBoundaryIs></Polygon>",22,福島県,,南相馬市,2017/07/15 22:46:13,2017/07/15 22:47:25,0.25591,105
83,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88816,37.68944 140.88816,37.68660 140.89176,37.68660 140.89176,37.68944</coordinates></LinearRing></outerBoundaryIs></Polygon>",34,福島県,,南相馬市,2017/07/15 22:47:26,2017/07/15 22:48:05,0.24441,106
84,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88816,37.69228 140.88816,37.68944 140.89176,37.68944 140.89176,37.69228</coordinates></LinearRing></outerBoundaryIs></Polygon>",52,福島県,,南相馬市,2017/07/15 22:55:06,2017/07/15 23:11:32,0.24827,90
85,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88816,37.69513 140.88816,37.69228 140.89176,37.69228 140.89176,37.69513</coordinates></LinearRing></outerBoundaryIs></Polygon>",34,福島県,,南相馬市,2017/07/15 22:49:45,2017/07/15 22:50:22,0.18206,104
86,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88816,37.72071 140.88816,37.71787 140.89176,37.71787 140.89176,37.72071</coordinates></LinearRing></outerBoundaryIs></Polygon>",7,福島県,,南相馬市,2017/07/15 23:20:17,2017/07/15 23:45:00,0.15571,59
87,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88816,37.72355 140.88816,37.72071 140.89176,37.72071 140.89176,37.72355</coordinates></LinearRing></outerBoundaryIs></Polygon>",67,福島県,,南相馬市,2017/07/15 23:20:22,2017/07/15 23:44:57,0.15343,58
88,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88816,37.72640 140.88816,37.72355 140.89176,37.72355 140.89176,37.72640</coordinates></LinearRing></outerBoundaryIs></Polygon>",29,福島県,,南相馬市,2017/07/15 23:22:36,2017/07/15 23:53:19,0.12310,57
89,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.89176,37.66100 140.89176,37.65815 140.89535,37.65815 140.89535,37.66100</coordinates></LinearRing></outerBoundaryIs></Polygon>",46,福島県,,南相馬市,2017/08/07 23:08:46,2017/08/07 23:09:50,0.33826,71
90,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.89176,37.66384 140.89176,37.66100 140.89535,37.66100 140.89535,37.66384</coordinates></LinearRing></outerBoundaryIs></Polygon>",80,福島県,,南相馬市,2017/07/15 22:39:43,2017/08/07 23:10:42,0.20100,72
91,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.89176,37.66669 140.89176,37.66384 140.89535,37.66384 140.89535,37.66669</coordinates></LinearRing></outerBoundaryIs></Polygon>",51,福島県,,南相馬市,2017/07/15 22:42:08,2017/08/07 23:10:56,0.22137,74
92,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.89176,37.66953 140.89176,37.66669 140.89535,37.66669 140.89535,37.66953</coordinates></LinearRing></outerBoundaryIs></Polygon>",30,福島県,,南相馬市,2017/07/15 22:42:45,2017/07/15 22:43:16,0.31767,81
93,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.89176,37.67522 140.89176,37.67238 140.89535,37.67238 140.89535,37.67522</coordinates></LinearRing></outerBoundaryIs></Polygon>",2,福島県,,南相馬市,2017/07/15 22:44:19,2017/07/15 22:44:20,0.27000,108
94,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.89176,37.67806 140.89176,37.67522 140.89535,37.67522 140.89535,37.67806</coordinates></LinearRing></outerBoundaryIs></Polygon>",13,福島県,,南相馬市,2017/07/15 22:44:21,2017/07/15 22:44:49,0.34385,110
